Restaurant ID,Restaurant Name,City,country name,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
8216,Baker's Byte,New Delhi,India,"42/A2, Ground Floor, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,"Safdarjung, New Delhi",77.194961,28.563831,FAST FOOD,200,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,34
8226,Evergreen Sweets,Noida,India,"A-2/27, Opposite Kendriya Vihar, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.387306,28.533341,Street Food,200,Indian Rupees(Rs.),No,No,No,No,1,2.6,Orange,Average,16
8228,Kanha Bhog,Noida,India,"A-2/33, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.387459,28.533581,Street Food,150,Indian Rupees(Rs.),No,No,No,No,1,2.6,Orange,Average,26
8236,Mezbaan Jaika Restaurant,Noida,India,"25, Opposite Kendriya Vihar, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.38717,28.533308,FAST FOOD,500,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average,18
8237,The Cake Expert's,Noida,India,"11, Block A-2, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.386913,28.533091,FAST FOOD,250,Indian Rupees(Rs.),No,Yes,No,No,1,2.4,Red,Poor,63
8241,7 Degrees Brauhaus,Gurgaon,India,"310 & 311, 3rd Floor, DLF South Point Mall, Golf Course Road, Gurgaon","DLF South Point Mall, Golf Course Road","DLF South Point Mall, Golf Course Road, Gurgaon",77.099298,28.448173,Finger Food,3200,Indian Rupees(Rs.),Yes,No,No,No,4,4.2,Green,Very Good,1193
8244,Big Chill,New Delhi,India,"35, Khan Market, New Delhi",Khan Market,"Khan Market, New Delhi",77.227537,28.600543,italian,1500,Indian Rupees(Rs.),No,No,No,No,3,4.6,Dark Green,Excellent,1569
8257,Cafe Coffee Day,New Delhi,India,"12, Ground Floor, V3S Mall, Laxmi Nagar, New Delhi","V3S Mall, Laxmi Nagar","V3S Mall, Laxmi Nagar, New Delhi",77.286944,28.637318,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,2.6,Orange,Average,33
8265,McDonald's,New Delhi,India,"Shop 98 & 107, Ground Floor, V3S East Central Mall, Plot  12, Laxmi Nagar, New Delhi","V3S Mall, Laxmi Nagar","V3S Mall, Laxmi Nagar, New Delhi",77.286738,28.636701,FAST FOOD,500,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,160
8266,Mittal Fast Food,Faridabad,India,"10, Town Park, Sector 12, Faridabad",Sector 12,"Sector 12, Faridabad",77.32425,28.384714,FAST FOOD,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
8272,Cocoberry,New Delhi,India,"2, Ground Floor, North West Avenue, Punjabi Bagh Extension, Punjabi Bagh, New Delhi",Punjabi Bagh,"Punjabi Bagh, New Delhi",77.123417,28.666531,Desserts,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.2,Orange,Average,50
